Tornado_ID,Year,Date,Time,Timezone,State,Magnitude,Injuries,Fatalities,Start_Lat,Start_Long,End_Lat,End_Long,Length,Width
19,1990,2/3/1990,19:35:00,3,AL,1,2,0,33.52,-87.05,33.58,-86.9,7.0,50
20,1990,2/3/1990,19:48:00,3,AL,1,15,0,33.62,-86.82,33.62,-86.77,3.0,50
21,1990,2/3/1990,20:00:00,3,AL,1,0,0,33.62,-86.62,0.0,0.0,2.0,50
22,1990,2/3/1990,21:05:00,3,AL,1,11,0,33.68,-86.45,0.0,0.0,2.0,50
23,1990,2/9/1990,11:45:00,3,VA,0,0,0,36.78,-76.4,0.0,0.0,0.2,23
24,1990,2/9/1990,15:15:00,3,AR,0,0,0,35.75,-89.93,0.0,0.0,0.2,50
25,1990,2/9/1990,15:34:00,3,TN,1,0,0,35.77,-89.8,0.0,0.0,2.0,40
26,1990,2/9/1990,17:16:00,3,TX,2,1,0,31.7,-94.83,31.82,-94.5,25.0,100
27,1990,2/9/1990,20:30:00,3,MS,0,0,0,33.85,-89.42,0.0,0.0,0.5,20
28,1990,2/9/1990,22:13:00,3,TN,1,0,0,35.27,-86.13,0.0,0.0,2.5,43
29,1990,2/9/1990,22:25:00,3,TN,1,0,0,35.28,-85.98,0.0,0.0,2.2,50
30,1990,2/9/1990,23:50:00,3,MS,1,4,1,32.62,-89.9,0.0,0.0,1.0,40
31,1990,2/10/1990,2:42:00,3,AL,1,0,0,33.3,-86.85,0.0,0.0,1.0,30
33,1990,2/10/1990,3:15:00,3,GA,1,0,0,33.6,-85.2,0.0,0.0,1.5,100
34,1990,2/10/1990,3:45:00,3,GA,1,0,0,33.78,-84.65,0.0,0.0,0.5,200
32,1990,2/10/1990,3:55:00,3,AL,1,5,0,33.35,-85.95,0.0,0.0,0.5,20
35,1990,2/10/1990,3:55:00,3,GA,1,2,0,32.9,-84.43,32.93,-84.4,3.0,73
36,1990,2/10/1990,3:55:00,3,GA,2,2,0,33.87,-84.6,0.0,0.0,1.3,200
37,1990,2/10/1990,4:00:00,3,GA,1,0,0,33.92,-84.17,0.0,0.0,1.0,73
38,1990,2/10/1990,4:10:00,3,GA,1,0,0,33.77,-84.4,0.0,0.0,2.5,73
39,1990,2/10/1990,4:15:00,3,GA,1,0,0,33.88,-83.83,33.92,-83.77,4.0,100
40,1990,2/10/1990,4:15:00,3,GA,1,0,0,33.67,-83.92,0.0,0.0,2.5,100
41,1990,2/10/1990,4:35:00,3,GA,1,1,0,32.07,-84.23,0.0,0.0,0.5,73
42,1990,2/10/1990,5:20:00,3,SC,1,1,0,34.73,-82.9,34.72,-82.88,3.0,60
43,1990,2/10/1990,6:30:00,3,MS,1,0,0,30.55,-88.43,0.0,0.0,2.0,30
44,1990,2/10/1990,6:55:00,3,SC,1,0,0,34.83,-82.6,34.87,-82.55,3.0,100
45,1990,2/10/1990,7:00:00,3,SC,0,0,0,34.85,-82.4,34.88,-82.35,3.0,80
47,1990,2/10/1990,7:00:00,3,NC,2,0,0,35.2,-81.55,0.0,0.0,0.4,50
48,1990,2/10/1990,7:21:00,3,FL,1,0,0,30.6,-87.05,0.0,0.0,0.2,23
46,1990,2/10/1990,7:38:00,3,SC,1,0,0,35.12,-81.87,35.1,-81.82,5.0,50
49,1990,2/10/1990,12:20:00,3,NC,1,0,0,36.23,-77.75,36.32,-77.62,15.0,70
50,1990,2/10/1990,15:40:00,3,NC,0,0,0,35.85,-75.67,0.0,0.0,1.0,50
51,1990,2/15/1990,11:11:00,3,LA,1,5,0,30.3,-92.2,0.0,0.0,0.8,40
52,1990,2/15/1990,12:52:00,3,MS,0,0,0,32.37,-88.9,32.38,-88.75,8.0,20
53,1990,2/15/1990,13:50:00,3,MS,0,0,0,32.5,-88.72,0.0,0.0,0.5,20
54,1990,2/15/1990,14:08:00,3,MO,1,0,0,36.43,-89.67,0.0,0.0,0.2,50
55,1990,2/15/1990,14:20:00,3,AL,0,0,0,32.6,-88.18,0.0,0.0,0.3,10
56,1990,2/15/1990,14:24:00,3,MO,1,0,0,36.8,-89.62,0.0,0.0,0.2,50
57,1990,2/15/1990,14:25:00,3,LA,1,0,0,32.13,-93.67,0.0,0.0,2.0,40
58,1990,2/15/1990,14:58:00,3,LA,1,0,0,32.72,-93.0,0.0,0.0,0.8,30
59,1990,2/15/1990,15:10:00,3,LA,1,0,0,32.42,-93.28,0.0,0.0,0.8,30
60,1990,2/15/1990,15:15:00,3,LA,0,0,0,32.42,-93.27,0.0,0.0,0.8,30
61,1990,2/15/1990,15:50:00,3,LA,1,0,0,32.93,-92.57,0.0,0.0,0.5,30
62,1990,2/16/1990,3:35:00,3,GA,2,11,0,33.58,-85.05,33.68,-84.95,7.0,100
63,1990,2/16/1990,12:24:00,3,SC,0,0,0,34.32,-80.53,0.0,0.0,0.1,10
64,1990,2/16/1990,17:35:00,3,PA,1,0,0,40.78,-77.8,40.8,-77.75,3.0,350
65,1990,2/22/1990,5:51:00,3,AL,1,10,0,31.28,-86.25,0.0,0.0,1.5,50
66,1990,2/22/1990,8:03:00,3,GA,1,0,0,32.68,-84.73,0.0,0.0,0.2,50
67,1990,2/23/1990,7:30:00,3,FL,0,0,0,26.93,-82.05,0.0,0.0,0.2,10
68,1990,2/27/1990,14:20:00,3,TX,0,0,0,30.47,-104.2,0.0,0.0,0.5,20
69,1990,3/8/1990,15:15:00,3,IL,2,0,0,40.2,-90.95,40.23,-90.2,42.0,10
70,1990,3/8/1990,16:35:00,3,IA,1,0,0,41.72,-91.57,0.0,0.0,2.5,30
71,1990,3/8/1990,17:40:00,3,IA,0,0,0,41.77,-91.18,0.0,0.0,0.1,23
72,1990,3/11/1990,17:00:00,3,KS,0,0,0,38.07,-98.33,0.0,0.0,0.1,50
73,1990,3/11/1990,17:15:00,3,KS,1,0,0,38.23,-98.3,38.47,-98.15,14.0,440
74,1990,3/12/1990,22:40:00,3,IA,0,0,0,40.7,-91.32,0.0,0.0,0.2,20
75,1990,3/12/1990,23:49:00,3,KS,1,1,0,39.0,-95.62,39.02,-95.48,5.0,100
76,1990,3/13/1990,0:10:00,3,KS,1,0,0,39.18,-95.25,39.22,-95.2,3.0,100
77,1990,3/13/1990,8:36:00,3,KS,1,0,0,38.2,-100.05,0.0,0.0,1.0,23
78,1990,3/13/1990,15:32:00,3,IA,1,0,0,40.65,-92.37,40.85,-92.28,14.0,23
79,1990,3/13/1990,16:31:00,3,IA,0,0,0,41.52,-90.47,0.0,0.0,0.3,50
80,1990,3/13/1990,16:34:00,3,KS,5,60,1,37.77,-98.02,38.18,-97.37,48.0,1320
81,1990,3/13/1990,16:42:00,3,IA,0,0,0,41.6,-90.28,0.0,0.0,0.2,73
82,1990,3/13/1990,16:44:00,3,OK,2,1,0,34.88,-97.72,35.2,-97.33,28.0,200
83,1990,3/13/1990,16:45:00,3,IA,3,1,0,41.6,-90.28,41.77,-90.2,15.5,250
84,1990,3/13/1990,16:45:00,3,NE,1,0,0,40.8,-98.77,0.0,0.0,1.0,80
85,1990,3/13/1990,16:48:00,3,KS,1,0,0,39.82,-98.78,40.03,-98.78,13.0,220
86,1990,3/13/1990,16:53:00,3,IA,4,0,0,42.23,-91.42,42.4,-91.12,19.0,200
87,1990,3/13/1990,16:55:00,3,IA,1,0,0,41.6,-90.33,41.65,-90.37,13.0,73
88,1990,3/13/1990,17:00:00,3,NE,3,0,0,40.53,-99.0,40.97,-98.6,32.0,200
89,1990,3/13/1990,17:00:00,3,KS,1,0,0,39.83,-98.42,0.0,0.0,1.5,100
90,1990,3/13/1990,17:05:00,3,NE,4,8,0,40.05,-98.53,41.45,-97.0,131.0,440
91,1990,3/13/1990,17:08:00,3,IA,1,0,0,42.23,-91.2,42.3,-91.1,6.0,30
92,1990,3/13/1990,17:10:00,3,IA,1,0,0,41.38,-95.83,41.47,-95.68,8.0,40
93,1990,3/13/1990,17:15:00,3,OK,3,0,0,36.73,-97.98,36.97,-97.82,19.0,200
94,1990,3/13/1990,17:20:00,3,NE,2,0,0,40.37,-99.23,40.48,-99.23,8.0,100
95,1990,3/13/1990,17:25:00,3,NE,2,0,0,40.67,-98.65,40.82,-98.6,9.0,80
96,1990,3/13/1990,17:30:00,3,TX,0,0,0,33.0,-98.97,0.0,0.0,0.2,10
97,1990,3/13/1990,17:30:00,3,KS,5,0,1,38.15,-97.43,38.42,-97.17,22.0,1320
98,1990,3/13/1990,17:31:00,3,OK,2,0,0,34.97,-97.6,35.1,-97.35,18.0,150
99,1990,3/13/1990,17:35:00,3,NE,0,0,0,40.73,-99.08,0.0,0.0,0.1,40
100,1990,3/13/1990,17:44:00,3,NE,3,0,0,40.88,-98.47,41.18,-98.2,27.0,200
101,1990,3/13/1990,17:53:00,3,OK,1,0,0,35.22,-97.35,35.27,-97.27,5.0,50
102,1990,3/13/1990,17:54:00,3,OK,3,0,0,36.95,-97.83,37.23,-97.6,22.0,200
103,1990,3/13/1990,17:55:00,3,IA,1,0,0,42.57,-91.0,42.6,-90.98,3.0,23
104,1990,3/13/1990,17:59:00,3,OK,2,1,0,35.3,-97.23,35.5,-96.98,19.0,200
105,1990,3/13/1990,18:01:00,3,OK,1,0,0,34.17,-98.1,34.32,-97.73,21.0,73
106,1990,3/13/1990,18:04:00,3,KS,0,0,0,37.05,-97.33,0.0,0.0,0.1,50
107,1990,3/13/1990,18:12:00,3,KS,0,0,0,37.4,-97.65,0.0,0.0,0.1,50
108,1990,3/13/1990,18:15:00,3,KS,2,0,0,38.47,-97.08,39.02,-96.45,55.0,220
109,1990,3/13/1990,18:20:00,3,KS,1,0,0,39.87,-98.13,39.92,-98.05,5.0,440
110,1990,3/13/1990,18:23:00,3,NE,2,0,0,41.25,-98.27,41.42,-98.15,13.0,100
111,1990,3/13/1990,18:25:00,3,NE,1,0,0,41.65,-97.83,0.0,0.0,1.5,200
112,1990,3/13/1990,18:30:00,3,NE,1,0,0,41.35,-97.95,0.0,0.0,2.0,50
113,1990,3/13/1990,18:35:00,3,KS,1,0,0,37.28,-97.92,37.28,-97.67,12.0,50
114,1990,3/13/1990,18:45:00,3,NE,1,0,0,41.75,-97.77,0.0,0.0,0.2,50
115,1990,3/13/1990,18:45:00,3,KS,1,0,0,39.6,-98.03,39.75,-97.9,13.0,550
116,1990,3/13/1990,18:55:00,3,KS,3,0,0,38.15,-97.73,38.23,-97.52,18.0,200
117,1990,3/13/1990,18:58:00,3,OK,3,1,0,34.27,-97.75,34.52,-97.42,22.0,200
118,1990,3/13/1990,19:00:00,3,KS,2,0,0,39.72,-97.85,39.92,-97.65,15.0,440
119,1990,3/13/1990,19:16:00,3,KS,0,0,0,39.78,-97.63,0.0,0.0,0.5,10
120,1990,3/13/1990,19:20:00,3,IA,0,0,0,41.62,-93.95,0.0,0.0,0.1,13
121,1990,3/13/1990,19:25:00,3,IA,2,0,0,42.03,-94.03,42.3,-93.77,22.0,50
122,1990,3/13/1990,19:30:00,3,NE,1,0,0,41.98,-97.57,0.0,0.0,0.6,73
123,1990,3/13/1990,19:35:00,3,IA,1,0,0,42.18,-93.85,0.0,0.0,1.0,30
124,1990,3/13/1990,19:45:00,3,NE,3,0,0,40.32,-97.67,40.62,-97.4,25.0,180
125,1990,3/13/1990,19:45:00,3,NE,3,0,0,40.02,-97.62,40.17,-97.47,13.0,150
126,1990,3/13/1990,19:50:00,3,OK,2,0,0,34.5,-97.45,34.82,-97.1,28.0,150
127,1990,3/13/1990,19:50:00,3,KS,0,0,0,38.8,-97.63,0.0,0.0,0.2,10
128,1990,3/13/1990,19:55:00,3,IA,2,15,0,41.73,-93.62,41.88,-93.4,15.0,60
129,1990,3/13/1990,20:03:00,3,KS,1,0,0,39.2,-96.23,0.0,0.0,2.0,50
130,1990,3/13/1990,20:10:00,3,OK,2,0,0,35.7,-96.23,35.77,-96.12,9.0,340
131,1990,3/13/1990,20:36:00,3,IA,3,1,0,42.02,-93.38,42.13,-93.3,9.0,100
132,1990,3/13/1990,20:40:00,3,KS,0,0,0,39.53,-97.67,0.0,0.0,0.2,10
133,1990,3/13/1990,21:30:00,3,MO,2,0,0,37.47,-93.28,0.0,0.0,2.0,600
134,1990,3/13/1990,22:01:00,3,NE,1,0,0,42.02,-96.57,0.0,0.0,1.5,50
135,1990,3/14/1990,0:45:00,3,KS,1,0,0,37.02,-95.1,0.0,0.0,2.0,50
136,1990,3/14/1990,7:49:00,3,MO,1,0,0,37.08,-94.47,0.0,0.0,0.5,50
137,1990,3/14/1990,8:00:00,3,AR,0,0,0,36.38,-94.25,0.0,0.0,0.2,50
138,1990,3/14/1990,9:45:00,3,TX,3,0,0,31.07,-97.5,31.1,-97.35,9.0,50
139,1990,3/14/1990,9:59:00,3,TX,2,0,0,31.97,-97.13,0.0,0.0,0.2,10
140,1990,3/14/1990,12:05:00,3,TX,2,0,0,32.87,-95.93,32.92,-95.88,4.0,50
141,1990,3/14/1990,18:25:00,3,MO,1,0,0,37.68,-92.67,0.0,0.0,0.5,50
142,1990,3/14/1990,18:30:00,3,LA,1,0,0,31.57,-93.5,0.0,0.0,0.8,30
143,1990,3/14/1990,19:40:00,3,AR,2,6,1,33.82,-92.42,0.0,0.0,2.0,200
144,1990,3/14/1990,20:00:00,3,MO,1,0,0,37.02,-93.22,0.0,0.0,0.5,50
145,1990,3/14/1990,22:00:00,3,AR,1,0,0,33.48,-91.33,0.0,0.0,0.2,30
146,1990,3/15/1990,4:25:00,3,LA,0,0,0,29.4,-90.28,0.0,0.0,0.5,23
147,1990,3/15/1990,15:45:00,3,AL,0,0,0,30.38,-87.85,0.0,0.0,0.3,10
148,1990,3/15/1990,16:12:00,3,AL,0,0,0,30.48,-87.7,0.0,0.0,0.3,10
149,1990,3/15/1990,16:28:00,3,AL,0,0,0,30.55,-87.58,0.0,0.0,0.3,10
150,1990,3/23/1990,14:30:00,3,UT,0,0,0,40.42,-109.5,0.0,0.0,0.2,10
151,1990,3/29/1990,13:40:00,3,LA,1,0,0,30.95,-93.27,0.0,0.0,0.5,30
152,1990,3/29/1990,19:27:00,3,LA,1,0,0,30.23,-93.02,0.0,0.0,0.3,23
153,1990,3/29/1990,20:30:00,3,LA,1,0,0,30.4,-92.22,0.0,0.0,0.3,23
154,1990,3/29/1990,22:00:00,3,LA,1,7,0,29.7,-90.78,0.0,0.0,2.0,50
155,1990,4/1/1990,15:10:00,3,TX,0,0,0,31.9,-99.87,0.0,0.0,0.5,50
156,1990,4/2/1990,14:30:00,3,VA,0,0,0,37.0,-79.37,0.0,0.0,0.1,10
157,1990,4/2/1990,16:53:00,3,VA,2,0,0,37.35,-77.45,0.0,0.0,0.2,100
158,1990,4/2/1990,19:20:00,3,VA,1,1,0,36.72,-77.78,0.0,0.0,1.0,20
159,1990,4/5/1990,16:00:00,3,TX,1,0,0,33.27,-98.6,0.0,0.0,0.2,10
160,1990,4/5/1990,16:24:00,3,TX,0,0,0,32.55,-100.6,0.0,0.0,0.5,40
161,1990,4/5/1990,16:45:00,3,TX,0,0,0,32.75,-100.45,0.0,0.0,0.8,70
162,1990,4/5/1990,18:00:00,3,TX,2,0,0,32.45,-99.73,0.0,0.0,0.2,10
163,1990,4/5/1990,18:22:00,3,TX,2,0,0,32.58,-99.9,0.0,0.0,0.2,10
164,1990,4/5/1990,18:40:00,3,TX,1,0,0,32.75,-98.05,0.0,0.0,0.2,10
165,1990,4/5/1990,18:47:00,3,TX,2,0,0,32.83,-97.98,0.0,0.0,0.2,10
166,1990,4/5/1990,18:53:00,3,TX,2,0,0,32.82,-97.97,0.0,0.0,0.2,10
167,1990,4/5/1990,18:55:00,3,TX,1,0,0,32.23,-99.2,0.0,0.0,0.2,10
168,1990,4/5/1990,18:58:00,3,TX,1,0,0,32.85,-97.8,0.0,0.0,0.2,10
169,1990,4/5/1990,19:30:00,3,TX,1,0,0,32.22,-98.67,0.0,0.0,2.0,50
170,1990,4/5/1990,19:40:00,3,TX,0,0,0,33.13,-95.7,0.0,0.0,0.2,10
171,1990,4/5/1990,20:33:00,3,TX,2,0,0,32.75,-97.35,0.0,0.0,0.2,10
172,1990,4/5/1990,22:10:00,3,TX,0,0,0,31.53,-97.68,0.0,0.0,0.2,10
173,1990,4/9/1990,18:12:00,3,KS,0,0,0,37.98,-97.65,37.98,-97.15,20.0,210
174,1990,4/9/1990,19:18:00,3,KS,1,0,0,37.4,-98.23,37.45,-98.1,7.0,420
175,1990,4/9/1990,19:50:00,3,KS,0,0,0,37.57,-98.12,0.0,0.0,1.0,210
176,1990,4/9/1990,20:00:00,3,TX,1,0,0,33.95,-98.7,0.0,0.0,0.2,10
177,1990,4/9/1990,23:10:00,3,OK,2,4,0,34.13,-97.27,34.22,-97.1,11.0,440
178,1990,4/10/1990,17:33:00,3,GA,1,0,0,32.28,-83.73,0.0,0.0,0.2,50
179,1990,4/10/1990,18:50:00,3,NC,0,0,0,35.25,-81.68,0.0,0.0,0.2,30
180,1990,4/14/1990,3:50:00,3,TX,1,0,0,31.95,-97.92,0.0,0.0,1.0,440
181,1990,4/14/1990,14:10:00,3,LA,1,0,0,30.73,-89.85,0.0,0.0,0.5,30
182,1990,4/14/1990,14:15:00,3,LA,1,0,0,30.68,-89.88,0.0,0.0,0.5,30
183,1990,4/15/1990,16:30:00,3,TX,2,0,0,30.9,-102.83,30.95,-102.8,3.5,250
184,1990,4/15/1990,17:10:00,3,TX,0,0,0,32.7,-100.53,0.0,0.0,0.9,73
185,1990,4/15/1990,17:38:00,3,TX,0,0,0,32.6,-100.4,0.0,0.0,0.8,70
186,1990,4/15/1990,18:44:00,3,TX,0,0,0,32.27,-100.25,0.0,0.0,0.9,60
187,1990,4/15/1990,18:50:00,3,TX,1,0,0,33.65,-97.47,0.0,0.0,0.2,10
188,1990,4/20/1990,15:24:00,3,ID,0,0,0,42.53,-114.25,0.0,0.0,0.2,10
189,1990,4/21/1990,22:20:00,3,NM,0,0,0,33.37,-104.55,0.0,0.0,0.2,10
190,1990,4/22/1990,17:28:00,3,NM,0,0,0,33.37,-104.55,0.0,0.0,0.2,10
191,1990,4/22/1990,18:10:00,3,NM,0,0,0,33.38,-104.55,0.0,0.0,0.2,10
192,1990,4/23/1990,14:04:00,3,MN,0,0,0,45.27,-95.47,0.0,0.0,1.0,10
193,1990,4/23/1990,14:10:00,3,MN,0,0,0,45.3,-95.6,45.45,-95.43,12.0,10
194,1990,4/23/1990,15:10:00,3,FL,0,0,0,28.55,-82.45,0.0,0.0,0.5,10
195,1990,4/23/1990,17:30:00,3,CA,0,0,0,38.85,-121.17,0.0,0.0,0.2,10
196,1990,4/23/1990,17:45:00,3,UT,0,1,0,41.28,-112.05,0.0,0.0,0.1,13
197,1990,4/23/1990,18:00:00,3,TX,0,0,0,31.67,-101.58,0.0,0.0,1.2,80
198,1990,4/23/1990,18:15:00,3,TX,0,0,0,34.53,-101.23,0.0,0.0,1.3,70
199,1990,4/23/1990,18:35:00,3,TX,0,0,0,34.55,-101.2,0.0,0.0,1.0,60
200,1990,4/23/1990,21:00:00,3,IA,1,0,0,43.27,-93.83,0.0,0.0,0.5,50
201,1990,4/24/1990,17:11:00,3,TX,0,0,0,35.17,-100.6,0.0,0.0,1.4,80
202,1990,4/24/1990,19:30:00,3,TX,0,0,0,35.75,-100.2,0.0,0.0,1.3,70
203,1990,4/24/1990,20:15:00,3,TX,1,0,0,35.9,-100.05,35.9,-100.0,3.0,130
204,1990,4/24/1990,20:57:00,3,TX,1,0,0,36.07,-100.15,0.0,0.0,2.5,110
205,1990,4/24/1990,21:23:00,3,OK,2,5,0,36.02,-99.83,36.4,-99.72,19.0,250
206,1990,4/24/1990,21:40:00,3,TX,0,0,0,35.13,-100.55,0.0,0.0,1.5,90
207,1990,4/24/1990,22:30:00,3,TX,1,1,0,35.22,-100.45,35.27,-100.38,3.5,140
208,1990,4/24/1990,23:17:00,3,TX,1,0,0,35.22,-100.28,35.23,-100.22,4.0,250
209,1990,4/25/1990,0:50:00,3,OK,1,0,0,36.93,-101.08,0.0,0.0,2.0,50
210,1990,4/25/1990,14:30:00,3,KS,1,0,0,37.6,-100.52,37.95,-100.27,25.0,50
211,1990,4/25/1990,15:30:00,3,TX,2,0,0,32.73,-97.85,32.78,-97.83,4.0,300
212,1990,4/25/1990,15:44:00,3,TX,4,0,0,32.78,-97.83,32.9,-97.75,10.0,880
213,1990,4/25/1990,16:07:00,3,KS,0,0,0,38.4,-99.9,0.0,0.0,1.0,50
214,1990,4/25/1990,16:13:00,3,TX,1,0,0,32.92,-97.7,0.0,0.0,0.2,10
215,1990,4/25/1990,16:20:00,3,TX,2,0,0,33.07,-97.72,33.08,-97.67,5.0,100
216,1990,4/25/1990,16:50:00,3,KS,0,0,0,38.77,-100.48,0.0,0.0,2.0,23
217,1990,4/25/1990,16:50:00,3,TX,1,0,0,33.17,-97.65,0.0,0.0,0.2,10
218,1990,4/25/1990,17:00:00,3,KS,3,0,0,38.62,-99.73,39.12,-99.32,37.0,500
219,1990,4/25/1990,17:05:00,3,TX,2,0,0,33.25,-97.62,0.0,0.0,0.2,10
220,1990,4/25/1990,17:08:00,3,KS,1,0,0,39.23,-99.22,39.88,-98.78,52.0,100
221,1990,4/25/1990,17:25:00,3,TX,2,0,0,32.08,-98.47,32.13,-98.42,4.0,50
222,1990,4/25/1990,18:55:00,3,TX,1,0,0,31.98,-98.38,32.02,-98.37,2.0,50
223,1990,4/25/1990,19:00:00,3,NE,0,0,0,40.0,-100.88,0.0,0.0,0.2,20
224,1990,4/25/1990,21:14:00,3,TX,1,0,0,32.5,-98.17,32.57,-98.13,4.0,50
225,1990,4/25/1990,21:55:00,3,TX,1,0,0,32.67,-97.9,0.0,0.0,0.2,10
226,1990,4/26/1990,19:48:00,3,CO,0,0,0,38.08,-102.62,0.0,0.0,0.2,30
227,1990,4/27/1990,13:00:00,3,MS,2,0,0,31.87,-89.7,31.97,-89.78,5.0,100
228,1990,4/27/1990,14:15:00,3,MS,0,0,0,32.38,-90.0,0.0,0.0,0.5,20
229,1990,4/27/1990,14:20:00,3,MS,0,0,0,32.58,-89.75,0.0,0.0,1.0,20
230,1990,4/27/1990,15:15:00,3,TX,2,0,0,31.92,-96.8,0.0,0.0,0.2,10
231,1990,4/27/1990,15:27:00,3,TX,2,0,0,32.02,-97.5,0.0,0.0,0.2,10
232,1990,4/27/1990,15:40:00,3,TX,1,0,0,31.77,-96.67,0.0,0.0,0.2,10
233,1990,4/27/1990,15:40:00,3,TX,3,0,0,31.6,-96.5,31.63,-96.45,4.0,100
234,1990,4/27/1990,16:45:00,3,TX,2,8,0,31.67,-96.7,0.0,0.0,16.0,880
235,1990,4/27/1990,17:05:00,3,TX,1,0,0,31.53,-96.42,0.0,0.0,0.2,10
236,1990,4/27/1990,17:05:00,3,TX,1,0,0,31.23,-96.27,0.0,0.0,0.2,10
237,1990,4/27/1990,17:30:00,3,TX,1,0,0,31.95,-95.97,0.0,0.0,0.2,10
238,1990,4/27/1990,17:58:00,3,TX,0,0,0,30.67,-96.4,0.0,0.0,0.2,10
239,1990,4/27/1990,18:17:00,3,TX,2,0,0,32.6,-94.03,0.0,0.0,1.0,100
240,1990,4/27/1990,18:24:00,3,LA,1,0,0,32.58,-94.02,0.0,0.0,0.3,30
241,1990,4/27/1990,18:26:00,3,LA,1,0,0,32.53,-94.02,0.0,0.0,0.5,30
242,1990,4/27/1990,18:27:00,3,TX,2,0,0,32.47,-94.08,0.0,0.0,0.2,10
243,1990,4/27/1990,18:35:00,3,TX,1,0,0,31.15,-94.5,0.0,0.0,0.2,10
244,1990,4/27/1990,18:35:00,3,TX,1,0,0,31.25,-94.32,0.0,0.0,0.2,10
245,1990,4/27/1990,18:48:00,3,LA,1,0,0,32.5,-93.87,0.0,0.0,0.2,30
246,1990,4/27/1990,19:05:00,3,TX,1,0,0,31.78,-93.98,31.8,-93.88,4.0,50
247,1990,4/27/1990,19:15:00,3,LA,1,0,0,31.78,-93.82,0.0,0.0,0.2,30
248,1990,4/27/1990,19:16:00,3,LA,1,0,0,32.08,-93.98,0.0,0.0,0.2,30
249,1990,4/27/1990,19:25:00,3,LA,1,0,0,32.52,-93.72,0.0,0.0,0.1,20
250,1990,4/27/1990,19:36:00,3,LA,1,0,0,32.52,-93.72,0.0,0.0,0.3,40
251,1990,4/27/1990,19:41:00,3,LA,1,0,0,32.05,-93.68,0.0,0.0,0.3,30
252,1990,4/27/1990,19:50:00,3,LA,1,0,0,32.43,-93.3,0.0,0.0,1.5,50
253,1990,4/27/1990,19:57:00,3,LA,1,0,0,32.37,-93.37,0.0,0.0,0.5,30
254,1990,4/27/1990,20:00:00,3,LA,1,0,0,30.75,-93.53,30.78,-93.5,3.0,73
255,1990,4/27/1990,20:15:00,3,LA,1,0,0,30.82,-93.28,0.0,0.0,0.8,30
257,1990,4/28/1990,12:30:00,3,NY,0,1,0,42.2,-73.97,0.0,0.0,0.2,10
256,1990,4/28/1990,13:00:00,3,TN,1,0,0,35.35,-88.82,0.0,0.0,2.0,50
258,1990,4/28/1990,13:50:00,3,IN,0,0,0,39.05,-87.58,0.0,0.0,0.2,30
259,1990,4/28/1990,15:10:00,3,SC,0,0,0,34.95,-81.92,0.0,0.0,2.0,30
260,1990,4/28/1990,15:20:00,3,SC,1,4,0,35.03,-82.08,35.13,-81.98,6.0,50
261,1990,4/28/1990,15:55:00,3,SC,1,0,0,35.07,-81.55,35.12,-81.5,5.0,40
262,1990,4/30/1990,14:25:00,3,VA,0,0,0,36.72,-81.97,0.0,0.0,0.3,20
263,1990,5/2/1990,22:30:00,3,TX,2,0,0,31.97,-97.57,0.0,0.0,0.2,10
264,1990,5/3/1990,0:55:00,3,TX,2,13,0,33.65,-95.53,0.0,0.0,2.0,100
